Id,Year,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST,DEP_TIME,DEP_DEL15,DEP_TIME_BLK,ARR_TIME,ARR_DEL15,CANCELLED
46,2019,5,6,WN,19393,WN,N8689C,4053,10721,1072102,BOS,11292,1129202,DEN,1613,0,1600-1659,1847,0,0
47,2019,5,6,WN,19393,WN,N488WN,2567,10721,1072102,BOS,13204,1320402,MCO,736,0,0700-0759,1054,0,0
48,2019,5,6,WN,19393,WN,N8642E,2581,10721,1072102,BOS,13232,1323202,MDW,624,0,0600-0659,754,0,0
49,2019,5,6,WN,19393,WN,N8611F,2590,10721,1072102,BOS,13232,1323202,MDW,837,0,0800-0859,1005,0,0
50,2019,5,6,WN,19393,WN,N8707P,3653,10721,1072102,BOS,13232,1323202,MDW,1535,1,1500-1559,1707,0,0
51,2019,5,6,WN,19393,WN,N8562Z,1159,10721,1072102,BOS,15016,1501606,STL,1309,0,1300-1359,1454,0,0
52,2019,5,6,WN,19393,WN,N7864B,2592,10721,1072102,BOS,15016,1501606,STL,600,0,0600-0659,755,0,0
53,2019,5,6,WN,19393,WN,N492WN,348,10792,1079206,BUF,10821,1082106,BWI,809,0,0800-0859,921,0,0
54,2019,5,6,WN,19393,WN,N252WN,2533,10792,1079206,BUF,10821,1082106,BWI,1646,0,1600-1659,1747,0,0
55,2019,5,6,WN,19393,WN,N7885A,2536,10792,1079206,BUF,10821,1082106,BWI,1851,0,1900-1959,1945,0,0
56,2019,5,6,WN,19393,WN,N7725A,2613,10792,1079206,BUF,10821,1082106,BWI,608,0,0600-0659,715,0,0
57,2019,5,6,WN,19393,WN,N7714B,4360,10792,1079206,BUF,10821,1082106,BWI,1153,0,1100-1159,1253,0,0
58,2019,5,6,WN,19393,WN,N437WN,591,10792,1079206,BUF,11697,1169706,FLL,1305,0,1300-1359,1554,0,0
59,2019,5,6,WN,19393,WN,N8306H,3533,10792,1079206,BUF,12889,1288903,LAS,1528,0,1500-1559,1732,0,0
60,2019,5,6,WN,19393,WN,N8522P,2599,10792,1079206,BUF,13204,1320402,MCO,850,0,0800-0859,1114,0,0
61,2019,5,6,WN,19393,WN,N557WN,2614,10792,1079206,BUF,13204,1320402,MCO,656,0,0700-0759,930,0,0
62,2019,5,6,WN,19393,WN,N958WN,3750,10792,1079206,BUF,13204,1320402,MCO,1711,0,1700-1759,1936,0,0
63,2019,5,6,WN,19393,WN,N496WN,4723,10792,1079206,BUF,13204,1320402,MCO,1248,0,1200-1259,1512,0,0
64,2019,5,6,WN,19393,WN,N557WN,345,10792,1079206,BUF,13232,1323202,MDW,1345,0,1300-1359,1429,0,0
65,2019,5,6,WN,19393,WN,N7831B,2607,10792,1079206,BUF,13232,1323202,MDW,700,0,0700-0759,733,0,0
66,2019,5,6,WN,19393,WN,N8697C,3622,10792,1079206,BUF,14107,1410702,PHX,1618,0,1600-1659,1914,0,0
67,2019,5,6,WN,19393,WN,N241WN,1323,10792,1079206,BUF,15304,1530402,TPA,1805,0,1800-1859,2034,0,0
68,2019,5,6,WN,19393,WN,N8619F,2620,10792,1079206,BUF,15304,1530402,TPA,555,0,0600-0659,833,0,0
69,2019,5,6,WN,19393,WN,N446WN,3297,10800,1080003,BUR,11259,1125904,DAL,904,0,0900-0959,1344,0,0
70,2019,5,6,WN,19393,WN,N8653A,3790,10800,1080003,BUR,11292,1129202,DEN,1127,0,1100-1159,1417,0,0
71,2019,5,6,WN,19393,WN,N8518R,2627,10800,1080003,BUR,12889,1288903,LAS,743,0,0700-0759,836,0,0
72,2019,5,6,WN,19393,WN,N756SA,2840,10800,1080003,BUR,12889,1288903,LAS,1242,1,1200-1259,1341,1,0
73,2019,5,6,WN,19393,WN,N417WN,3721,10800,1080003,BUR,12889,1288903,LAS,1041,0,1000-1059,1133,0,0
74,2019,5,6,WN,19393,WN,N567WN,4271,10800,1080003,BUR,12889,1288903,LAS,1523,0,1500-1559,1612,0,0
75,2019,5,6,WN,19393,WN,N483WN,4297,10800,1080003,BUR,12889,1288903,LAS,1710,0,1700-1759,1820,1,0
76,2019,5,6,WN,19393,WN,N767SW,4677,10800,1080003,BUR,12889,1288903,LAS,1413,1,1300-1359,1508,0,0
77,2019,5,6,WN,19393,WN,N217JC,356,10800,1080003,BUR,13796,1379608,OAK,809,0,0800-0859,918,0,0
78,2019,5,6,WN,19393,WN,N7858A,2516,10800,1080003,BUR,13796,1379608,OAK,1751,0,1700-1759,1854,0,0
79,2019,5,6,WN,19393,WN,N7884G,2642,10800,1080003,BUR,13796,1379608,OAK,716,0,0700-0759,826,0,0
80,2019,5,6,WN,19393,WN,N267WN,3443,10800,1080003,BUR,13796,1379608,OAK,1608,1,1500-1559,1712,1,0
81,2019,5,6,WN,19393,WN,N758SW,3670,10800,1080003,BUR,13796,1379608,OAK,907,0,0900-0959,1017,0,0
82,2019,5,6,WN,19393,WN,N482WN,4130,10800,1080003,BUR,13796,1379608,OAK,1309,1,1200-1259,1424,1,0
83,2019,5,6,WN,19393,WN,N7821L,4159,10800,1080003,BUR,13796,1379608,OAK,1026,0,1000-1059,1139,0,0
84,2019,5,6,WN,19393,WN,N7740A,4685,10800,1080003,BUR,13796,1379608,OAK,1349,0,1300-1359,1500,0,0
85,2019,5,6,WN,19393,WN,N216WR,3291,10800,1080003,BUR,14057,1405702,PDX,1130,1,1100-1159,1323,0,0
86,2019,5,6,WN,19393,WN,N469WN,359,10800,1080003,BUR,14107,1410702,PHX,659,0,0700-0759,936,0,0
87,2019,5,6,WN,19393,WN,N217JC,2628,10800,1080003,BUR,14107,1410702,PHX,1214,0,1200-1259,1420,0,0
88,2019,5,6,WN,19393,WN,N773SA,3373,10800,1080003,BUR,14107,1410702,PHX,1615,1,1400-1459,1838,1,0
89,2019,5,6,WN,19393,WN,N432WN,3835,10800,1080003,BUR,14107,1410702,PHX,927,0,0900-0959,1134,0,0
90,2019,5,6,WN,19393,WN,N7741C,360,10800,1080003,BUR,14771,1477104,SFO,939,0,0900-0959,1120,1,0
91,2019,5,6,WN,19393,WN,N7747C,2989,10800,1080003,BUR,14771,1477104,SFO,1825,1,1700-1759,1947,1,0
92,2019,5,6,WN,19393,WN,N444WN,2564,10800,1080003,BUR,14831,1483106,SJC,1109,1,1000-1059,1219,1,0
93,2019,5,6,WN,19393,WN,N7858A,2630,10800,1080003,BUR,14831,1483106,SJC,701,0,0700-0759,803,0,0
94,2019,5,6,WN,19393,WN,N7858A,2638,10800,1080003,BUR,14831,1483106,SJC,1433,0,1400-1459,1535,0,0
95,2019,5,6,WN,19393,WN,N904WN,2640,10800,1080003,BUR,14831,1483106,SJC,1759,0,1700-1759,1856,0,0
96,2019,5,6,WN,19393,WN,N704SW,4189,10800,1080003,BUR,14831,1483106,SJC,848,0,0800-0859,948,0,0
97,2019,5,6,WN,19393,WN,N283WN,4505,10800,1080003,BUR,14831,1483106,SJC,1903,0,1900-1959,2005,0,0
98,2019,5,6,WN,19393,WN,N745SW,2560,10800,1080003,BUR,14893,1489302,SMF,1417,0,1400-1459,1526,0,0
99,2019,5,6,WN,19393,WN,N245WN,2619,10800,1080003,BUR,14893,1489302,SMF,800,0,0800-0859,905,0,0
100,2019,5,6,WN,19393,WN,N964WN,2809,10800,1080003,BUR,14893,1489302,SMF,1752,0,1700-1759,1902,0,0
101,2019,5,6,WN,19393,WN,N755SA,2961,10800,1080003,BUR,14893,1489302,SMF,1020,0,1000-1059,1126,0,0
102,2019,5,6,WN,19393,WN,N8725L,3472,10821,1082106,BWI,10140,1014005,ABQ,1415,1,1400-1459,1621,0,0
103,2019,5,6,WN,19393,WN,N445WN,2771,10821,1082106,BWI,10257,1025702,ALB,2150,0,2100-2159,2251,0,0
104,2019,5,6,WN,19393,WN,N707SA,3380,10821,1082106,BWI,10257,1025702,ALB,1111,0,1100-1159,1219,0,0
105,2019,5,6,WN,19393,WN,N7859B,3587,10821,1082106,BWI,10257,1025702,ALB,1636,0,1600-1659,1746,0,0
106,2019,5,6,WN,19393,WN,N494WN,3599,10821,1082106,BWI,10257,1025702,ALB,836,0,0800-0859,951,0,0
107,2019,5,6,WN,19393,WN,N906WN,703,10821,1082106,BWI,10397,1039707,ATL,1527,0,1500-1559,1713,0,0
108,2019,5,6,WN,19393,WN,N7722B,2078,10821,1082106,BWI,10397,1039707,ATL,1959,0,2000-2059,2133,0,0
109,2019,5,6,WN,19393,WN,N8581Z,2651,10821,1082106,BWI,10397,1039707,ATL,646,0,0600-0659,837,0,0
110,2019,5,6,WN,19393,WN,N200WN,3512,10821,1082106,BWI,10397,1039707,ATL,1036,1,1000-1059,1212,0,0
111,2019,5,6,WN,19393,WN,N8606C,4661,10821,1082106,BWI,10423,1042302,AUS,1859,0,1900-1959,2111,0,0
112,2019,5,6,WN,19393,WN,N7749B,1198,10821,1082106,BWI,10529,1052906,BDL,1106,0,1100-1159,1215,0,0
113,2019,5,6,WN,19393,WN,N419WN,1932,10821,1082106,BWI,10529,1052906,BDL,1651,1,1600-1659,1757,1,0
114,2019,5,6,WN,19393,WN,N434WN,2820,10821,1082106,BWI,10529,1052906,BDL,2134,0,2100-2159,2241,0,0
115,2019,5,6,WN,19393,WN,N944WN,4509,10821,1082106,BWI,10529,1052906,BDL,1957,0,2000-2059,2107,0,0
116,2019,5,6,WN,19393,WN,N8634A,2700,10821,1082106,BWI,10599,1059904,BHM,829,0,0800-0859,912,0,0
117,2019,5,6,WN,19393,WN,N258WN,3779,10821,1082106,BWI,10693,1069302,BNA,1049,0,1000-1059,1130,0,0
118,2019,5,6,WN,19393,WN,N415WN,3903,10821,1082106,BWI,10693,1069302,BNA,856,0,0900-0959,927,0,0
119,2019,5,6,WN,19393,WN,N257WN,4581,10821,1082106,BWI,10693,1069302,BNA,2005,0,2000-2059,2043,0,0
120,2019,5,6,WN,19393,WN,N8537Z,4650,10821,1082106,BWI,10693,1069302,BNA,1547,0,1500-1559,1629,0,0
121,2019,5,6,WN,19393,WN,N8615E,2204,10821,1082106,BWI,10721,1072102,BOS,1126,0,1100-1159,1238,0,0
122,2019,5,6,WN,19393,WN,N212WN,2563,10821,1082106,BWI,10721,1072102,BOS,921,0,0900-0959,1039,0,0
123,2019,5,6,WN,19393,WN,N935WN,3348,10821,1082106,BWI,10721,1072102,BOS,1646,0,1600-1659,1801,0,0
124,2019,5,6,WN,19393,WN,N278WN,3642,10821,1082106,BWI,10721,1072102,BOS,1022,0,1000-1059,1133,0,0
125,2019,5,6,WN,19393,WN,N935WN,3968,10821,1082106,BWI,10721,1072102,BOS,2124,0,2100-2159,2237,0,0
126,2019,5,6,WN,19393,WN,N8503A,4387,10821,1082106,BWI,10721,1072102,BOS,1346,0,1300-1359,1504,0,0
127,2019,5,6,WN,19393,WN,N469WN,4636,10821,1082106,BWI,10721,1072102,BOS,1854,0,1800-1859,2008,0,0
128,2019,5,6,WN,19393,WN,N7885A,2535,10821,1082106,BWI,10792,1079206,BUF,1648,0,1600-1659,1753,0,0
129,2019,5,6,WN,19393,WN,N786SW,2652,10821,1082106,BWI,10792,1079206,BUF,1911,0,1900-1959,2018,0,0
130,2019,5,6,WN,19393,WN,N8726H,2934,10821,1082106,BWI,10792,1079206,BUF,2145,0,2100-2159,2256,0,0
131,2019,5,6,WN,19393,WN,N496WN,4723,10821,1082106,BWI,10792,1079206,BUF,1100,0,1100-1159,1209,0,0
132,2019,5,6,WN,19393,WN,N252WN,5600,10821,1082106,BWI,10792,1079206,BUF,1449,0,1400-1459,1556,0,0
133,2019,5,6,WN,19393,WN,N252WN,383,10821,1082106,BWI,10994,1099402,CHS,1923,0,1900-1959,2049,0,0
134,2019,5,6,WN,19393,WN,N296WN,3427,10821,1082106,BWI,10994,1099402,CHS,1631,1,1600-1659,1759,0,0
135,2019,5,6,WN,19393,WN,N7739A,3574,10821,1082106,BWI,10994,1099402,CHS,825,0,0800-0859,954,0,0
136,2019,5,6,WN,19393,WN,N484WN,684,10821,1082106,BWI,11042,1104205,CLE,2150,0,2100-2159,2254,0,0
137,2019,5,6,WN,19393,WN,N8601C,2671,10821,1082106,BWI,11042,1104205,CLE,836,0,0800-0859,939,0,0
138,2019,5,6,WN,19393,WN,N908WN,2753,10821,1082106,BWI,11057,1105703,CLT,829,0,0800-0859,1008,0,0
139,2019,5,6,WN,19393,WN,N262WN,3197,10821,1082106,BWI,11057,1105703,CLT,1915,0,1900-1959,2037,0,0
140,2019,5,6,WN,19393,WN,N965WN,2466,10821,1082106,BWI,11066,1106606,CMH,2127,0,2100-2159,2240,0,0
141,2019,5,6,WN,19393,WN,N244WN,2997,10821,1082106,BWI,11066,1106606,CMH,1640,0,1600-1659,1802,0,0
142,2019,5,6,WN,19393,WN,N250WN,2493,10821,1082106,BWI,11193,1119302,CVG,1541,0,1500-1559,1713,0,0
143,2019,5,6,WN,19393,WN,N777QC,2710,10821,1082106,BWI,11193,1119302,CVG,837,0,0800-0859,1001,0,0
144,2019,5,6,WN,19393,WN,N712SW,2814,10821,1082106,BWI,11193,1119302,CVG,2147,0,2100-2159,2309,0,0
145,2019,5,6,WN,19393,WN,N8329B,290,10821,1082106,BWI,11259,1125904,DAL,1607,0,1600-1659,1805,0,0
146,2019,5,6,WN,19393,WN,N8726H,1224,10821,1082106,BWI,11259,1125904,DAL,659,0,0700-0759,854,0,0
147,2019,5,6,WN,19393,WN,N963WN,3677,10821,1082106,BWI,11259,1125904,DAL,1914,0,1900-1959,2112,0,0
148,2019,5,6,WN,19393,WN,N8685B,758,10821,1082106,BWI,11292,1129202,DEN,1926,1,1900-1959,2115,0,0
149,2019,5,6,WN,19393,WN,N8646B,2309,10821,1082106,BWI,11292,1129202,DEN,658,0,0700-0759,851,0,0
150,2019,5,6,WN,19393,WN,N8565Z,2669,10821,1082106,BWI,11292,1129202,DEN,1427,1,1400-1459,1630,0,0
151,2019,5,6,WN,19393,WN,N8558Z,2946,10821,1082106,BWI,11433,1143302,DTW,2153,0,2100-2159,2317,0,0
152,2019,5,6,WN,19393,WN,N8571Z,4647,10821,1082106,BWI,11433,1143302,DTW,826,0,0800-0859,953,0,0
153,2019,5,6,WN,19393,WN,N8565Z,389,10821,1082106,BWI,11697,1169706,FLL,708,0,0700-0759,956,0,0
154,2019,5,6,WN,19393,WN,N8628A,2476,10821,1082106,BWI,11697,1169706,FLL,2011,1,1900-1959,2230,0,0
155,2019,5,6,WN,19393,WN,N768SW,2487,10821,1082106,BWI,11697,1169706,FLL,950,0,1000-1059,1220,0,0
156,2019,5,6,WN,19393,WN,N777QC,2696,10821,1082106,BWI,11697,1169706,FLL,1313,0,1300-1359,1541,0,0
